goos: linux
goarch: amd64
pkg: github.com/grafana/mimir/pkg/ingester/activeseries
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2173401	       564.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2064442	       591.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2106650	       555.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2157235	       586.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2177548	       557.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2149778	       564.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2133693	       560.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2117287	       577.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2157741	       550.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2109789	       569.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1992346	       615.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1971478	       614.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1871240	       642.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1971218	       606.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2029590	       598.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1909126	       630.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1945825	       610.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1970528	       598.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1934004	       607.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 1944210	       609.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1798663	       674.9 ns/op	       0 B/op	       0 allocs/op
