goos: linux
goarch: amd64
pkg: github.com/grafana/mimir/pkg/ingester/activeseries
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2212947	       576.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2199782	       530.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2072055	       573.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2166217	       528.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2131417	       559.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2274498	       535.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2185684	       572.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2204600	       534.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2123217	       552.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16         	 2194107	       540.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2008224	       587.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2095495	       567.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2042758	       599.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2105320	       570.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2075857	       582.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2120986	       564.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2094894	       593.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2121645	       561.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2089234	       580.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16         	 2103697	       561.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1938048	       632.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1913323	       630.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1915694	       632.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1927352	       623.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1914962	       628.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1920506	       624.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1931203	       649.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1818218	       650.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1844646	       656.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16        	 1878844	       653.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1742278	       687.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1726552	       673.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1827775	       672.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1797620	       663.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1793798	       683.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1802432	       662.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1731056	       687.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1741542	       708.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1819045	       704.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16        	 1772176	       674.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1556347	       787.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1544029	       764.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1600764	       760.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1583242	       757.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1604884	       762.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1589734	       798.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1556917	       767.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1575787	       745.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1567321	       779.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1517884	       775.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1102 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1090 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1203480	       994.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1209794	       996.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1016 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1032 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1018 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1044 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1007 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1049 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1033 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1063 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1095 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1076 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1075 ns/op	       0 B/op	       0 allocs/op
