BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12    	    2504	    471831 ns/op	  810566 B/op	     409 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12    	    2494	    459381 ns/op	  810565 B/op	     409 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12    	    2442	    459151 ns/op	  810567 B/op	     409 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12    	    2384	    468807 ns/op	  810569 B/op	     409 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12    	    2472	    464070 ns/op	  810566 B/op	     409 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12         	    2228	    493573 ns/op	  820454 B/op	     414 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12         	    2104	    487779 ns/op	  820459 B/op	     414 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12         	    2329	    495436 ns/op	  820448 B/op	     414 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12         	    2466	    497982 ns/op	  820443 B/op	     414 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12         	    2257	    494444 ns/op	  820451 B/op	     414 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12        	    2143	    494438 ns/op	  810131 B/op	     438 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12        	    2262	    496592 ns/op	  810124 B/op	     438 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12        	    2160	    494999 ns/op	  810131 B/op	     438 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12        	    2283	    497755 ns/op	  810124 B/op	     438 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12        	    2280	    503432 ns/op	  810126 B/op	     438 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/no_splitting-12                  	     829	   1429353 ns/op	 1581351 B/op	    5013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/no_splitting-12                  	     825	   1396757 ns/op	 1581357 B/op	    5013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/no_splitting-12                  	     805	   1381679 ns/op	 1581366 B/op	    5013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/no_splitting-12                  	     846	   1413998 ns/op	 1581340 B/op	    5013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/no_splitting-12                  	     816	   1398748 ns/op	 1581359 B/op	    5013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12         	     836	   1457206 ns/op	 1608625 B/op	    5018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12         	     830	   1462897 ns/op	 1608632 B/op	    5018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12         	     831	   1480407 ns/op	 1608634 B/op	    5018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12         	     812	   1468200 ns/op	 1608654 B/op	    5018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12         	     782	   1491868 ns/op	 1608671 B/op	    5018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12        	     724	   1469899 ns/op	 1623127 B/op	    5042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12        	     784	   1496312 ns/op	 1623079 B/op	    5042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12        	     799	   1490878 ns/op	 1623065 B/op	    5042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12        	     816	   1487887 ns/op	 1623059 B/op	    5042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12        	     789	   1452900 ns/op	 1623077 B/op	    5042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12       	     120	   9738931 ns/op	16191396 B/op	    8044 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12       	     118	   9570772 ns/op	16191999 B/op	    8044 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12       	     126	   9571325 ns/op	16189677 B/op	    8044 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12       	     127	   9597735 ns/op	16189392 B/op	    8044 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12       	     124	   9756360 ns/op	16190216 B/op	    8044 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                 	     116	  10183403 ns/op	16109749 B/op	    8014 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                 	     116	   9859019 ns/op	16109754 B/op	    8014 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                 	     123	   9566966 ns/op	16107623 B/op	    8014 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                 	     116	   9886911 ns/op	16109750 B/op	    8014 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                 	     120	  10037618 ns/op	16108547 B/op	    8014 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12        	     115	  10534905 ns/op	16145730 B/op	    8020 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12        	     115	  10535612 ns/op	16145736 B/op	    8020 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12        	     115	  10756245 ns/op	16145733 B/op	    8020 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12        	     111	  10692841 ns/op	16147096 B/op	    8020 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12        	     104	  11472410 ns/op	16149715 B/op	    8020 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/no_splitting-12                                    	  107176	     10759 ns/op	   10880 B/op	     209 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/no_splitting-12                                    	   97802	     10959 ns/op	   10880 B/op	     209 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/no_splitting-12                                    	  104731	     10672 ns/op	   10880 B/op	     209 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/no_splitting-12                                    	  110304	     10945 ns/op	   10880 B/op	     209 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/no_splitting-12                                    	  110250	     10753 ns/op	   10880 B/op	     209 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_few_requests-12                           	  103677	     11687 ns/op	   11632 B/op	     214 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_few_requests-12                           	  101892	     11875 ns/op	   11632 B/op	     214 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_few_requests-12                           	   97123	     11816 ns/op	   11632 B/op	     214 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_few_requests-12                           	   97738	     11866 ns/op	   11632 B/op	     214 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_few_requests-12                           	   99200	     11889 ns/op	   11632 B/op	     214 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_many_requests-12                          	   92906	     12953 ns/op	   12152 B/op	     238 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_many_requests-12                          	   89247	     12846 ns/op	   12152 B/op	     238 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_many_requests-12                          	   95306	     12936 ns/op	   12152 B/op	     238 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_many_requests-12                          	   93073	     12737 ns/op	   12152 B/op	     238 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/split_in_many_requests-12                          	   88880	     12895 ns/op	   12152 B/op	     238 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                          	    5382	    224952 ns/op	  229951 B/op	    4018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                          	    4978	    217683 ns/op	  229953 B/op	    4018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                          	    5356	    223574 ns/op	  229952 B/op	    4018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                          	    4641	    221578 ns/op	  229954 B/op	    4018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                          	    4950	    217971 ns/op	  229953 B/op	    4018 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                         	    4803	    226357 ns/op	  236041 B/op	    4042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                         	    4671	    224939 ns/op	  236041 B/op	    4042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                         	    4995	    225574 ns/op	  236040 B/op	    4042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                         	    4890	    226557 ns/op	  236041 B/op	    4042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                         	    4761	    226216 ns/op	  236041 B/op	    4042 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/no_splitting-12                                   	    4964	    219490 ns/op	  226480 B/op	    4013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/no_splitting-12                                   	    5450	    209663 ns/op	  226479 B/op	    4013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/no_splitting-12                                   	    5172	    211361 ns/op	  226480 B/op	    4013 allocs/op
