step,ing_min,ing_max,ing_mean,ing_p99,ing_stddev,ing_max_mean,qry_min,qry_max,qry_mean,qry_p99,qry_stddev,qry_max_mean,ing_moves,qry_moves,ing_churn,catchup_count,catchup_load
0,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
1,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
2,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
3,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
4,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
5,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
6,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
7,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
8,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
9,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,0,0.000000,0,0.0000
10,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0118,184.7835,2.8495,184.7835,20.5378,181.9340,0,3,0.000000,0,0.0000
11,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0183,184.7835,2.8499,184.7835,20.5378,181.9336,0,0,0.000000,3,0.0294
12,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0183,184.7835,2.8499,184.7835,20.5378,181.9336,0,0,0.000000,3,0.0294
13,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0183,184.7835,2.8499,184.7835,20.5378,181.9336,0,0,0.000000,3,0.0294
14,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0183,184.7835,2.8499,184.7835,20.5378,181.9336,0,0,0.000000,3,0.0294
15,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0201,184.6982,2.8495,184.6982,20.5282,181.8486,0,0,0.000000,0,0.0000
16,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0201,184.6982,2.8495,184.6982,20.5282,181.8486,0,0,0.000000,0,0.0000
17,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0201,184.6982,2.8495,184.6982,20.5282,181.8486,0,0,0.000000,0,0.0000
18,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0201,184.6982,2.8495,184.6982,20.5282,181.8486,0,0,0.000000,0,0.0000
19,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0201,184.6982,2.8495,184.6982,20.5282,181.8486,0,0,0.000000,0,0.0000
20,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0201,184.6982,2.8495,184.6982,20.5282,181.8486,0,3,0.000000,0,0.0000
21,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0213,184.6982,2.8496,184.6982,20.5282,181.8486,0,0,0.000000,3,0.0031
22,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0213,184.6982,2.8496,184.6982,20.5282,181.8486,0,0,0.000000,3,0.0031
23,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0213,184.6982,2.8496,184.6982,20.5282,181.8486,0,0,0.000000,3,0.0031
24,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0213,184.6982,2.8496,184.6982,20.5282,181.8486,0,0,0.000000,3,0.0031
25,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0215,184.6953,2.8495,184.6953,20.5279,181.8458,0,0,0.000000,0,0.0000
26,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0215,184.6953,2.8495,184.6953,20.5279,181.8458,0,0,0.000000,0,0.0000
27,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0215,184.6953,2.8495,184.6953,20.5279,181.8458,0,0,0.000000,0,0.0000
28,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0215,184.6953,2.8495,184.6953,20.5279,181.8458,0,0,0.000000,0,0.0000
29,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0215,184.6953,2.8495,184.6953,20.5279,181.8458,0,0,0.000000,0,0.0000
30,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0215,184.6953,2.8495,184.6953,20.5279,181.8458,0,3,0.000000,0,0.0000
31,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6953,2.8498,184.6953,20.5279,181.8455,0,0,0.000000,3,0.0203
